Screen ID,Destinations,Destination Count
bpl-roslindale-V2,"Heath St, Mattapan, Forest Hills",3
MUL-908-V2,"Forest Hills, Oak Grove, Arlington Center, Lechmere, Ruggles, Central Square, Harvard via Sullivan",7
MUL-143,"Fields Corner via Adams St, Keystone Apts via Adams St, Fields Corner via Neponset Ave, Quincy Center, Fields Corner, Ruggles, Andrew, Ashmont, Kenmore",9
TPS-121,"Government Center, Boston College, Watertown Yard, Kenmore",4
TPS-108,"Wachusett, North Station, North Waltham, Market Place Dr, Roberts, Waltham Center, University Park, Newton Corner",8
MUL-137,"Malden, Elm St, Woodland Rd, Lebanon Loop, Wonderland",5
MUL-113-V2,"Woodlawn, Haymarket, Riverside, Union Square, Heath Street, Medford/Tufts, Forest Hills, Oak Grove",8
MUL-118,"Fields Corner, Franklin Park, Jackson Square, Ruggles, Park St & Tremont St, Kenmore via South Bay Center, Kenmore, Central Square, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Assembly",11
MUL-128,"Dedham Mall, VA Hospital, Baker & Vermont St, Mattapan, Reservoir, Oak Grove, South Station, Andrew via South Bay Center, Forest Hills, Back Bay, Nubian, Needham Heights, Forest Hills via South Bay Center, Ashmont, Wolcott Square, Walpole Center via Washington St, Wren St, Georgetowne, Cleary Square",19
TPS-114,"Arlington Heights, Harvard, Alewife via Arlington Center, Turkey Hill via Arlington Center",4
TPS-111,"Greenbush, South Station, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, Braintree",7
Audio-Andrew,"Braintree, Ashmont, Alewife, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), City Point via South Bay Center, Arlington via South Bay Center, Forest Hills via South Bay Center, Andrew via South Bay Center, Fields Corner, Andrew, Logan Airport via Andrew",13
PRE-187,"Oak Grove, Forest Hills, Union Square, Medford/Tufts, Riverside, Heath Street",6
TPS-TEST,"Chelsea, South Station, Newburyport, Rockport, North Station, Malden, Airport, Haymarket, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill, Mystic Mall, Maverick, Woodlawn, Wonderland",14
TPS-119,"Harvard, Alewife via Mall Rd, Arlington Heights, North Burlington via Mall Rd",4
PRE-198,"Oak Grove, Union Square, Medford/Tufts, North Station, Forest Hills, Riverside, Heath Street, Wachusett, Haverhill, Lowell, Newburyport, Rockport",12
bpl-jamaica-plain-V2,"Wren St, Back Bay, Forest Hills, JFK/UMass",4
TPS-109,"Fall River, New Bedford, South Station, Kingston, Hyannis, Braintree, Alewife, Quincy Center, Montello",9
bpl-mattapan-V2,"Ashmont, Ruggles, Jackson Square via Franklin Field, Forest Hills, Mattapan, Mattapan via Franklin Field",6
TPS-124,"Watertown Square via Needham St, Needham Junction via Needham St, Newton Corner, Roberts, Waverley, Worcester, South Station",7
