Screen ID,Name,Destination Count,Destinations
TPS-TEST,,14,"Chelsea, South Station, Newburyport, Rockport, North Station, Malden, Airport, Haymarket, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill, Mystic Mall, Maverick, Woodlawn, Wonderland"
TPS-119,,4,"Harvard, Alewife via Mall Rd, Arlington Heights, North Burlington via Mall Rd"
PRE-198,PRE-198 North Station TD Garden,12,"Oak Grove, Union Square, Medford/Tufts, North Station, Forest Hills, Riverside, Heath Street, Wachusett, Haverhill, Lowell, Newburyport, Rockport"
bpl-jamaica-plain-V2,BPL Jamaica Plain,4,"Wren St, Back Bay, Forest Hills, JFK/UMass"
TPS-109,,9,"Fall River, New Bedford, South Station, Kingston, Hyannis, Braintree, Alewife, Quincy Center, Montello"
bpl-mattapan-V2,BPL Mattapan,6,"Ashmont, Ruggles, Jackson Square via Franklin Field, Forest Hills, Mattapan, Mattapan via Franklin Field"
TPS-124,,7,"Watertown Square via Needham St, Needham Junction via Needham St, Newton Corner, Roberts, Waverley, Worcester, South Station"
MUL-140,MUL-140 Davis Busway,7,"Arlington Center, Clarendon Hill, Sullivan, Davis, Assembly, Medford Square, Harvard"
TPS-128,,5,"Walpole Center via Washington St, Forest Hills, South Station, Forge Park/495, Foxboro"
TPS-107,,6,"Davis, Arlington Center, West Medford, Medford Square, Sullivan, Wellington"
PRE-163,PRE-163 Hynes Convention Center,7,"Government Center, Union Square, Boston College, Cleveland Circle, Riverside, Harvard, Nubian"
Audio-ForestHillsBus,MUL-126/127 Forest Hills Lower Busway Audio,7,"Forest Hills via South Bay Center, Andrew via South Bay Center, Ashmont, Forest Hills, Mattapan, Wolcott Square, Nubian"
MUL-117,MUL-117 Ruggles Lower Busway Left,6,"Ashmont, Fields Corner, Mattapan, Andrew (Limited Stops), Harbor Point via South Bay Center, Broadway"
TPS-118,,4,"Alewife via Arlington Center, Harvard, Turkey Hill via Arlington Center, Arlington Heights"
PRE-116,PRE-116 Ruggles,23,"Oak Grove, South Station, Andrew (Limited Stops), Kenmore via South Bay Center, Ruggles, Kenmore, Park St & Tremont St, Broadway, Forest Hills, Forge Park/495, Needham Heights, Wickford Junction, Stoughton, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Harbor Point via South Bay Center, Fields Corner, Ashmont, Mattapan, Jackson Square, Franklin Park, Central Square, Assembly"
MUL-135,MUL-135 Quincy Center Busway,19,"Quincy Center via North Quincy, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, South Shore Plaza, Quincy Center, Mattapan, Houghs Neck via Germantown, Ashmont, Montello, Holbrook/Randolph, Hingham Depot via Shipyard, Quincy Center via Shipyard, Washington St & Pleasant St Weymouth, East Weymouth, Fields Corner, Squantum, Ashmont via North Quincy"
TEST-Salem,TEST-Salem,7,"North Station, Neptune Towers, Haymarket, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Wonderland via Central Square, Central Square"
PRE-181,PRE-181 South Station Dewey Sq Headhouse,20,"Alewife, South Station, Braintree, Ashmont, Logan Airport, Design Center, Chelsea, Silver Line Way, Readville, Fall River, New Bedford, Worcester, Forge Park/495, Foxboro, Greenbush, Kingston, Needham Heights, Wickford Junction, Stoughton, Hyannis"
TPS-117,,13,"Salem Depot via Central Square, Wonderland via Central Square, Newburyport, Rockport, North Station, Salem Depot, Neptune Towers, Haymarket, North Beverly via Tozer Rd, North Beverly via Cabot St, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Central Square"
MUL-120,MUL-120 Andrew Busway Right,13,"Braintree, Ashmont, Alewife, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), City Point via South Bay Center, Arlington via South Bay Center, Forest Hills via South Bay Center, Andrew via South Bay Center, Fields Corner, Andrew, Logan Airport via Andrew"
PRE-171,PRE-171 Arlington Lobby,7,"Boston College, Cleveland Circle, Riverside, Heath Street, Government Center, Union Square, Medford/Tufts"
MUL-141,MUL-140 Maverick Busway,8,"Mystic Mall, Maverick, Wonderland, Orient Heights via Waldemar, Maverick via Jeffries Point, Eagle Square, Wood Island, Bowdoin"
